Trans Size,Total Contracts,Contracts,Premiums,Contracts.1,Premiums.1,Contracts.2,Premiums.2,Contracts.3,Premiums.3,porc,ds
CUST (1-10),4797510,"3,796,167",$1495419396.4000,"1,001,343",$614678221.7500,"1,821,908",$699711247.0000,"2,787,192",$1531043601.7700,calls,2020-01-03
CUST (11-49),3588226,"2,836,445",$659160093.0000,"751,781",$324933206.6800,"1,417,716",$349581312.0000,"2,174,683",$742848198.0000,calls,2020-01-03
CUST (50-UP),5312402,"3,836,844",$1650157427.4900,"1,475,558",$483997055.2500,"2,431,659",$1244431116.0000,"3,146,936",$1142812018.0100,calls,2020-01-03
CUST (ALL),13698138,"10,469,456",$3804736916.8900,"3,228,682",$1423608483.6800,"5,671,283",$2293723675.0000,"8,108,811",$3416703817.7800,calls,2020-01-03
FIRM (ALL),1360852,"758,776",$568505461.0000,"602,076",$242502188.0000,"664,858",$545073931.0000,"517,563",$110194631.0000,calls,2020-01-03
M-M (ALL),14569114,0,$0,"14,569,114",$7675986876.4100,0,$0,"14,665,589",$7349643871.2000,calls,2020-01-03
TOTAL CALLS,29628104,"11,228,232",$4373242377.8900,"18,399,872",$9342097548.0900,"6,336,141",$2838797606.0000,"23,291,963",$10876542319.9800,calls,2020-01-03
CUST (1-10),2310058,"1,553,242",$564557842.0000,"756,816",$237547618.7500,"1,623,229",$541242197.9000,"923,892",$327946421.0200,puts,2020-01-03
CUST (11-49),1643515,"1,120,576",$221663843.0000,"522,939",$103396073.0000,"1,209,798",$241400667.0000,"666,477",$138309639.0000,puts,2020-01-03
CUST (50-UP),2257565,"1,353,694",$228020169.0000,"903,871",$148582136.0000,"1,524,360",$262027670.0000,"1,074,087",$169991896.3000,puts,2020-01-03
CUST (ALL),6211138,"4,027,512",$1014241854.0000,"2,183,626",$489525827.7500,"4,357,387",$1044670534.9000,"2,664,456",$636247956.3200,puts,2020-01-03
FIRM (ALL),1032527,"502,765",$145212378.0000,"529,762",$138408725.0000,"486,400",$147525665.0000,"560,109",$167397217.0000,puts,2020-01-03
M-M (ALL),7930899,0,$0,"7,930,899",$2477376548.2200,0,$0,"7,106,212",$2268923959.7500,puts,2020-01-03
TOTAL PUTS,15174564,"4,530,277",$1159454232.0000,"10,644,287",$3105311100.9700,"4,843,787",$1192196199.9000,"10,330,777",$3072569133.0700,puts,2020-01-03
CUST (1-10),7107568,"5,349,409",$2059977238.4000,"1,758,159",$852225840.5000,"3,445,137",$1240953444.9000,"3,711,084",$1858990022.7900,comb,2020-01-03
CUST (11-49),5231741,"3,957,021",$880823936.0000,"1,274,720",$428329279.6800,"2,627,514",$590981979.0000,"2,841,160",$881157837.0000,comb,2020-01-03
CUST (50-UP),7569967,"5,190,538",$1878177596.4900,"2,379,429",$632579191.2500,"3,956,019",$1506458786.0000,"4,221,023",$1312803914.3100,comb,2020-01-03
CUST (ALL),19909276,"14,496,968",$4818978770.8900,"5,412,308",$1913134311.4300,"10,028,670",$3338394209.9000,"10,773,267",$4052951774.1000,comb,2020-01-03
FIRM (ALL),2393379,"1,261,541",$713717839.0000,"1,131,838",$380910913.0000,"1,151,258",$692599596.0000,"1,077,672",$277591848.0000,comb,2020-01-03
M-M (ALL),22500013,0,$0,"22,500,013",$10153363424.6300,0,$0,"21,771,801",$9618567830.9500,comb,2020-01-03
TOTAL COMB,44802668,"15,758,509",$5532696609.8900,"29,044,159",$12447408649.0600,"11,179,928",$4030993805.9000,"33,622,740",$13949111453.0500,comb,2020-01-03
CUST (1-10),7509828,"6,025,894",$2526791629.7400,"1,483,934",$1095181407.7000,"2,599,048",$1075107878.7500,"4,636,274",$2752388954.5400,calls,2020-01-10
CUST (11-49),5426154,"4,315,428",$1093212117.0500,"1,110,726",$579237174.0000,"1,980,207",$536883807.0000,"3,384,955",$1294157003.0500,calls,2020-01-10
CUST (50-UP),8171320,"5,823,449",$1675560268.9900,"2,347,871",$912237037.0000,"3,342,933",$1033199614.0000,"4,819,148",$1706165029.9900,calls,2020-01-10
CUST (ALL),21107302,"16,164,771",$5295564015.7800,"4,942,531",$2586655618.7000,"7,922,188",$2645191299.7500,"12,840,377",$5752710987.5800,calls,2020-01-10
FIRM (ALL),2344401,"1,129,575",$431998820.0000,"1,214,826",$448065889.0000,"1,048,656",$413913927.0000,"1,208,227",$427923830.0000,calls,2020-01-10
M-M (ALL),20963196,0,$0,"20,963,196",$9518692288.0000,0,$0,"21,395,451",$9041236587.1500,calls,2020-01-10
TOTAL CALLS,44414899,"17,294,346",$5727562835.7800,"27,120,553",$12553413795.7000,"8,970,844",$3059105226.7500,"35,444,055",$15221871404.7300,calls,2020-01-10
CUST (1-10),3312245,"2,172,984",$786617319.0300,"1,139,261",$322631311.0000,"2,256,326",$799519538.0000,"1,298,572",$424587523.0300,puts,2020-01-10
CUST (11-49),2266208,"1,499,150",$304741678.2000,"767,058",$149020158.0000,"1,634,268",$349809683.0000,"919,594",$183667146.2000,puts,2020-01-10
CUST (50-UP),3585856,"1,862,939",$329910254.0000,"1,722,917",$285239921.0000,"2,061,260",$388147845.0000,"1,982,127",$300935130.0000,puts,2020-01-10
CUST (ALL),9164309,"5,535,073",$1421269251.2300,"3,629,236",$756891390.0000,"5,951,854",$1537477066.0000,"4,200,293",$909189799.2300,puts,2020-01-10
FIRM (ALL),2262264,"911,090",$261746184.0000,"1,351,174",$293788086.0000,"850,942",$212223879.0000,"1,299,506",$310823493.0000,puts,2020-01-10
M-M (ALL),11018470,0,$0,"11,018,470",$3296074255.0000,0,$0,"10,142,448",$3060054929.0000,puts,2020-01-10
TOTAL PUTS,22445043,"6,446,163",$1683015435.2300,"15,998,880",$4346753731.0000,"6,802,796",$1749700945.0000,"15,642,247",$4280068221.2300,puts,2020-01-10
CUST (1-10),10822073,"8,198,878",$3313408948.7700,"2,623,195",$1417812718.7000,"4,855,374",$1874627416.7500,"5,934,846",$3176976477.5700,comb,2020-01-10
CUST (11-49),7692362,"5,814,578",$1397953795.2500,"1,877,784",$728257332.0000,"3,614,475",$886693490.0000,"4,304,549",$1477824149.2500,comb,2020-01-10
CUST (50-UP),11757176,"7,686,388",$2005470522.9900,"4,070,788",$1197476958.0000,"5,404,193",$1421347459.0000,"6,801,275",$2007100159.9900,comb,2020-01-10
CUST (ALL),30271611,"21,699,844",$6716833267.0100,"8,571,767",$3343547008.7000,"13,874,042",$4182668365.7500,"17,040,670",$6661900786.8100,comb,2020-01-10
FIRM (ALL),4606665,"2,040,665",$693745004.0000,"2,566,000",$741853975.0000,"1,899,598",$626137806.0000,"2,507,733",$738747323.0000,comb,2020-01-10
M-M (ALL),31981666,0,$0,"31,981,666",$12814766543.0000,0,$0,"31,537,899",$12101291516.1500,comb,2020-01-10
TOTAL COMB,66859942,"23,740,509",$7410578271.0100,"43,119,433",$16900167526.7000,"15,773,640",$4808806171.7500,"51,086,302",$19501939625.9600,comb,2020-01-10
CUST (1-10),8627165,"6,818,049",$2649440418.0000,"1,809,116",$1217861677.8500,"2,871,151",$1174224875.0000,"5,591,879",$3007090768.0000,calls,2020-01-17
CUST (11-49),6271451,"4,878,675",$1134849579.3000,"1,392,776",$623709256.0000,"2,181,426",$555849284.0000,"4,283,457",$1445135857.2000,calls,2020-01-17
CUST (50-UP),8739071,"5,784,205",$1409302775.0000,"2,954,866",$1415851140.0000,"3,123,290",$931082488.5000,"5,759,644",$2064504356.8000,calls,2020-01-17
CUST (ALL),23637687,"17,480,929",$5193592772.3000,"6,156,758",$3257422073.8500,"8,175,867",$2661156647.5000,"15,634,980",$6516730982.0000,calls,2020-01-17
FIRM (ALL),2365834,"1,147,607",$342013350.0000,"1,218,227",$357945123.0000,"1,006,952",$298560263.5000,"1,345,677",$423031729.0000,calls,2020-01-17
M-M (ALL),23624803,0,$0,"23,624,803",$9853623194.0000,0,$0,"23,464,848",$9105116891.1500,calls,2020-01-17
TOTAL CALLS,49628324,"18,628,536",$5535606122.3000,"30,999,788",$13468990390.8500,"9,182,819",$2959716911.0000,"40,445,505",$16044879602.1500,calls,2020-01-17
CUST (1-10),3636795,"2,362,171",$892116677.0000,"1,274,624",$401386824.0000,"2,378,651",$851174389.0000,"1,434,830",$504699261.0000,puts,2020-01-17
CUST (11-49),2469778,"1,593,863",$343398763.0000,"875,915",$174952809.0000,"1,693,070",$400434269.0000,"982,226",$208545525.0000,puts,2020-01-17
CUST (50-UP),4117869,"1,974,683",$357713163.0000,"2,143,186",$361883120.0000,"2,236,362",$388129009.0000,"2,008,274",$375719875.0000,puts,2020-01-17
CUST (ALL),10224442,"5,930,717",$1593228603.0000,"4,293,725",$938222753.0000,"6,308,083",$1639737667.0000,"4,425,330",$1088964661.0000,puts,2020-01-17
FIRM (ALL),2119339,"977,820",$266676945.0000,"1,141,519",$294921983.0000,"856,067",$222699223.0000,"1,412,434",$321264519.0000,puts,2020-01-17
M-M (ALL),11759842,0,$0,"11,759,842",$3804559118.0000,0,$0,"11,101,709",$3624943332.0000,puts,2020-01-17
TOTAL PUTS,24103623,"6,908,537",$1859905548.0000,"17,195,086",$5037703854.0000,"7,164,150",$1862436890.0000,"16,939,473",$5035172512.0000,puts,2020-01-17
CUST (1-10),12263960,"9,180,220",$3541557095.0000,"3,083,740",$1619248501.8500,"5,249,802",$2025399264.0000,"7,026,709",$3511790029.0000,comb,2020-01-17
